RecordNumber,Zipcode,ZipCodeType,City,State,Lat,Long
1,704,STANDARD,PARC PARQUE,PR,17.96,-66.22
2,704,STANDARD,PASEO COSTA DEL SUR,PR,17.96,-66.22
3,704,STANDARD,SECT LANAUSSE,PR,17.96,-66.22
4,704,STANDARD,URB EUGENE RICE,PR,17.96,-66.22
5,704,STANDARD,URB GONZALEZ,PR,17.96,-66.22
6,704,STANDARD,URB LA FABRICA,PR,17.96,-66.22
7,704,STANDARD,URB MONTE SORIA 2,PR,17.96,-66.22
8,704,STANDARD,VILLAS DEL COQUI,PR,17.96,-66.22
9,705,STANDARD,AIBONITO,PR,18.14,-66.26
10,705,STANDARD,BDA SAN LUIS,PR,18.14,-66.26
11,705,STANDARD,BO LLANOS,PR,18.14,-66.26
12,705,STANDARD,BRISAS DE AIBONITO,PR,18.14,-66.26
13,705,STANDARD,COLINAS DE SAN FRANCISCO,PR,18.14,-66.26
14,705,STANDARD,EST DEL LLANO,PR,18.14,-66.26
15,705,STANDARD,EXT BELLA VISTA,PR,18.14,-66.26
16,705,STANDARD,EXT SAN LUIS,PR,18.14,-66.26
17,705,STANDARD,EXT VILLA ROSALES,PR,18.14,-66.26
18,705,STANDARD,REPTO ROBLES,PR,18.14,-66.26
19,705,STANDARD,URB BELLA VISTA,PR,18.14,-66.26
20,705,STANDARD,URB BUENA VISTA,PR,18.14,-66.26
21,705,STANDARD,URB GOLDEN VLG IV,PR,18.14,-66.26
22,705,STANDARD,URB LA PROVIDENCIA,PR,18.14,-66.26
23,705,STANDARD,VILLA DE LA ROSA,PR,18.14,-66.26
24,705,STANDARD,VILLA ROSALES,PR,18.14,-66.26
25,705,STANDARD,VILLAS DEL COQUI,PR,18.14,-66.26
26,610,STANDARD,ANASCO,PR,18.28,-67.14
27,610,STANDARD,BRISAS DE ANASCO,PR,18.28,-67.14
28,610,STANDARD,EST DE VALLE VERDE,PR,18.28,-67.14
29,610,STANDARD,JARD DE ANASCO,PR,18.28,-67.14
30,610,STANDARD,PASEO DEL VALLE,PR,18.28,-67.14
31,610,STANDARD,REPTO DAGUEY,PR,18.28,-67.14
32,610,STANDARD,URB SAN ANTONIO,PR,18.28,-67.14
33,611,PO BOX,ANGELES,PR,18.28,-66.79
34,612,STANDARD,ARECIBO,PR,18.45,-66.73
35,612,STANDARD,ALT DE JUNCOS,PR,18.45,-66.73
36,612,STANDARD,ALT DE SAN FELIPE,PR,18.45,-66.73
37,612,STANDARD,BDA DUHAMEL,PR,18.45,-66.73
38,612,STANDARD,BO EL PASAJE,PR,18.45,-66.73
39,612,STANDARD,BO ISLOTE,PR,18.45,-66.73
40,612,STANDARD,BO ISLOTE II,PR,18.45,-66.73
41,612,STANDARD,BO JAREALITOS,PR,18.45,-66.73
42,612,STANDARD,BO OBRERO,PR,18.45,-66.73
43,612,STANDARD,BO SANTANA,PR,18.45,-66.73
44,612,STANDARD,COMUNIDAD BUENOS AIRES,PR,18.45,-66.73
45,612,STANDARD,EST DE ARECIBO,PR,18.45,-66.73
46,612,STANDARD,EST DE BALSEIRO,PR,18.45,-66.73
47,612,STANDARD,EXT MARISOL,PR,18.45,-66.73
48,612,STANDARD,EXT TANAMA,PR,18.45,-66.73
49,612,STANDARD,EXT VILLA LOS SANTOS I,PR,18.45,-66.73
50,612,STANDARD,EXT VILLA LOS SANTOS II,PR,18.45,-66.73
51,612,STANDARD,HACIENDA TOLEDO,PR,18.45,-66.73
52,612,STANDARD,JARD DE ARECIBO,PR,18.45,-66.73
53,612,STANDARD,JARD DE SAN RAFAEL,PR,18.45,-66.73
54,612,STANDARD,PARC MATTEY,PR,18.45,-66.73
55,612,STANDARD,PARC NAVAS,PR,18.45,-66.73
56,612,STANDARD,PARC PEREZ,PR,18.45,-66.73
57,601,STANDARD,ADJUNTAS,PR,18.16,-66.72
58,601,STANDARD,COLINAS DEL GIGANTE,PR,18.16,-66.72
59,601,STANDARD,JARD DE ADJUNTAS,PR,18.16,-66.72
60,601,STANDARD,URB SAN JOAQUIN,PR,18.16,-66.72
61,631,PO BOX,CASTANER,PR,18.19,-66.82
62,631,PO BOX,ADJUNTAS,PR,18.19,-66.82
63,602,STANDARD,AGUADA,PR,18.38,-67.18
64,602,STANDARD,ALTS DE AGUADA,PR,18.38,-67.18
65,602,STANDARD,BO GUANIQUILLA,PR,18.38,-67.18
66,602,STANDARD,COMUNIDAD LAS FLORES,PR,18.38,-67.18
67,602,STANDARD,EXT LOS ROBLES,PR,18.38,-67.18
68,602,STANDARD,URB ISABEL LA CATOLICA,PR,18.38,-67.18
69,603,STANDARD,AGUADILLA,PR,18.43,-67.15
70,603,STANDARD,RAMEY,PR,18.43,-67.15
71,603,STANDARD,BDA CABAN,PR,18.43,-67.15
72,603,STANDARD,BDA ESTEVES,PR,18.43,-67.15
73,603,STANDARD,BO BORINQUEN,PR,18.43,-67.15
74,603,STANDARD,BO CEIBA BAJA,PR,18.43,-67.15
75,603,STANDARD,EXT EL PRADO,PR,18.43,-67.15
76,603,STANDARD,EXT MARBELLA,PR,18.43,-67.15
77,603,STANDARD,REPTO JIMENEZ,PR,18.43,-67.15
78,603,STANDARD,REPTO JUAN AGUIAR,PR,18.43,-67.15
79,603,STANDARD,REPTO LOPEZ,PR,18.43,-67.15
80,603,STANDARD,REPTO TRES PALMAS,PR,18.43,-67.15
81,603,STANDARD,SECT LAS VILLAS,PR,18.43,-67.15
82,603,STANDARD,URB BORINQUEN,PR,18.43,-67.15
83,603,STANDARD,URB EL PRADO,PR,18.43,-67.15
84,603,STANDARD,URB ESTEVES,PR,18.43,-67.15
85,603,STANDARD,URB GARCIA,PR,18.43,-67.15
86,603,STANDARD,URB LAS AMERICAS,PR,18.43,-67.15
87,603,STANDARD,URB LAS CASITAS COUNTRY CLUB,PR,18.43,-67.15
88,603,STANDARD,URB MALEZA GDNS,PR,18.43,-67.15
89,603,STANDARD,URB MARBELLA,PR,18.43,-67.15
90,603,STANDARD,URB RAMEY,PR,18.43,-67.15
91,603,STANDARD,URB RUBIANES,PR,18.43,-67.15
92,603,STANDARD,URB SAN CARLOS,PR,18.43,-67.15
93,603,STANDARD,URB SANTA MARTA,PR,18.43,-67.15
94,603,STANDARD,URB VICTORIA,PR,18.43,-67.15
95,603,STANDARD,VILLA ALEGRIA,PR,18.43,-67.15
96,603,STANDARD,VILLA LINDA,PR,18.43,-67.15
97,603,STANDARD,VILLA LYDIA,PR,18.43,-67.15
98,603,STANDARD,VILLA UNIVERSITARIA,PR,18.43,-67.15
99,603,STANDARD,VILLAS DE ALMERIA,PR,18.43,-67.15
100,603,STANDARD,VISTA ALEGRE,PR,18.43,-67.15
101,603,STANDARD,VISTA VERDE,PR,18.43,-67.15
102,604,PO BOX,AGUADILLA,PR,18.43,-67.15
103,604,PO BOX,RAMEY,PR,18.43,-67.15
104,605,PO BOX,AGUADILLA,PR,18.43,-67.15
105,703,STANDARD,AGUAS BUENAS,PR,18.25,-66.1
106,703,STANDARD,EST DEL RIO,PR,18.25,-66.1
107,703,STANDARD,MANS DE AGUAS BUENAS,PR,18.25,-66.1
108,703,STANDARD,URB SAN ANTONIO,PR,18.25,-66.1
